Время[с],Напряжение[В]
0.8645,1.9186
0.8652,1.9223
0.8659,1.9111
0.8667,1.9186
0.8675,1.9223
0.8683,1.9223
0.8691,1.9223
0.8699,1.9186
0.8707,1.9148
0.8715,1.9223
0.8723,1.9186
0.8731,1.9186
0.8739,1.9148
0.8747,1.9148
0.8757,1.9186
0.8765,1.9223
0.8774,1.9223
0.8782,1.9223
0.8791,1.9223
0.8800,1.9223
0.8810,1.9148
0.8818,1.9260
0.8827,1.9223
0.8836,1.9223
0.8845,1.9148
0.8853,1.9223
0.8861,1.9111
0.8869,1.9148
0.8877,1.9223
0.8885,1.9223
0.8893,1.9223
0.8903,1.9148
0.8914,1.9223
0.8926,1.9223
0.8937,1.9223
0.8945,1.9186
0.8953,1.9223
0.8961,1.9223
0.8969,1.9223
0.8976,1.9186
0.8984,1.9223
0.8991,1.9148
0.9000,1.9186
0.9008,1.9148
0.9019,1.9223
0.9032,1.9186
0.9045,1.9223
0.9056,1.9186
0.9064,1.9223
0.9071,1.9186
0.9078,1.9186
0.9085,1.9148
0.9093,1.9186
0.9100,1.9223
0.9107,1.9186
0.9114,1.9223
0.9122,1.9148
0.9129,1.9223
0.9136,1.9223
0.9143,1.9223
0.9151,1.9223
0.9158,1.9186
0.9166,1.9223
0.9173,1.9186
0.9180,1.9148
0.9188,1.9148
0.9196,1.9186
0.9204,1.9186
0.9212,1.9223
0.9220,1.9223
0.9228,1.9148
0.9235,1.9148
0.9242,1.9148
0.9250,1.9223
0.9257,1.9223
0.9264,1.9223
0.9272,1.9223
0.9280,1.9223
0.9288,1.9223
0.9296,1.9186
0.9304,1.9186
0.9313,1.9148
0.9321,1.9223
0.9330,1.9186
0.9338,1.9186
0.9346,1.9223
0.9354,1.9223
0.9362,1.9223
0.9370,1.9148
0.9378,1.9223
0.9385,1.9223
0.9393,1.9223
0.9401,1.9186
0.9408,1.9186
0.9416,1.9223
0.9423,1.9223
0.9431,1.9223
0.9440,1.9186
0.9451,1.9186
0.9459,1.9260
0.9467,1.9223
0.9475,1.9148
0.9483,1.9223
0.9491,1.9260
0.9500,1.9223
0.9507,1.9148
0.9515,1.9223
0.9523,1.9223
0.9531,1.9223
0.9539,1.9148
0.9547,1.9148
0.9555,1.9223
0.9564,1.9223
0.9572,1.9223
0.9580,1.9260
0.9589,1.9223
0.9597,1.9223
0.9605,1.9186
0.9613,1.9186
0.9621,1.9223
0.9634,1.9223
0.9645,1.9223
0.9656,1.9186
0.9666,1.9223
0.9674,1.9223
0.9682,1.9223
0.9689,1.9148
0.9697,1.9186
0.9705,1.9186
0.9713,1.9223
0.9721,1.9186
0.9728,1.9223
0.9736,1.9223
0.9744,1.9148
0.9752,1.9223
0.9760,1.9223
0.9768,1.9223
0.9776,1.9223
0.9783,1.9186
0.9791,1.9148
0.9798,1.9223
0.9806,1.9223
0.9814,1.9186
0.9822,1.9223
0.9830,1.9223
0.9838,1.9223
0.9845,1.9148
0.9853,1.9186
0.9861,1.9223
0.9869,1.9223
0.9877,1.9186
0.9884,1.9223
0.9892,1.9223
0.9899,1.9186
0.9907,1.9223
0.9915,1.9186
0.9922,1.9223
0.9930,1.9186
0.9938,1.9148
0.9946,1.9148
0.9954,1.9148
0.9963,1.9186
0.9971,1.9260
0.9980,1.9148
0.9988,1.9223
0.9996,1.9186
1.0004,1.9148
1.0012,1.9223
1.0020,1.9223
1.0029,1.9186
1.0037,1.9148
1.0045,1.9186
1.0053,1.9223
1.0062,1.9223
1.0070,1.9223
1.0078,1.9223
1.0086,1.9223
1.0093,1.9223
1.0101,1.9223
1.0109,1.9186
1.0117,1.9186
1.0126,1.9186
1.0134,1.9186
1.0142,1.9186
1.0151,1.9186
1.0159,1.9148
1.0168,1.9186
1.0176,1.9148
1.0184,1.9223
1.0192,1.9186
1.0201,1.9223
1.0209,1.9186
1.0217,1.9223
1.0226,1.9223
1.0234,1.9186
1.0242,1.9186
1.0249,1.9223
1.0256,1.9186
1.0264,1.9148
1.0273,1.9186
1.0280,1.9186
1.0288,1.9260
1.0296,1.9223
1.0305,1.9223
1.0313,1.9223
1.0322,1.9223
1.0330,1.9260
1.0339,1.9186
1.0347,1.9148
1.0355,1.9148
1.0363,1.9223
1.0371,1.9223
1.0379,1.9186
1.0387,1.9186
1.0395,1.9148
1.0403,1.9186
1.0411,1.9223
1.0419,1.9223
1.0427,1.9223
1.0436,1.9223
1.0444,1.9148
1.0452,1.9186
1.0460,1.9223
1.0469,1.9148
1.0477,1.9223
1.0486,1.9148
1.0494,1.9223
1.0502,1.9223
1.0510,1.9186
1.0519,1.9223
1.0527,1.9223
1.0535,1.9148
1.0542,1.9223
1.0550,1.9186
1.0558,1.9223
1.0566,1.9148
