Время[с],Напряжение[В]
0.7665,1.7330
0.7673,1.7367
0.7680,1.7367
0.7687,1.7293
0.7695,1.7293
0.7703,1.7330
0.7712,1.7330
0.7720,1.7367
0.7728,1.7330
0.7736,1.7367
0.7745,1.7293
0.7753,1.7293
0.7760,1.7330
0.7768,1.7330
0.7776,1.7404
0.7783,1.7367
0.7792,1.7367
0.7800,1.7293
0.7807,1.7367
0.7815,1.7367
0.7822,1.7330
0.7830,1.7293
0.7838,1.7293
0.7845,1.7330
0.7853,1.7293
0.7860,1.7367
0.7868,1.7293
0.7876,1.7367
0.7885,1.7330
0.7893,1.7367
0.7901,1.7293
0.7908,1.7330
0.7916,1.7330
0.7923,1.7367
0.7931,1.7330
0.7939,1.7367
0.7946,1.7330
0.7954,1.7367
0.7961,1.7367
0.7969,1.7256
0.7976,1.7367
0.7984,1.7330
0.7991,1.7367
0.7999,1.7367
0.8007,1.7367
0.8014,1.7367
0.8022,1.7330
0.8030,1.7293
0.8038,1.7293
0.8046,1.7330
0.8054,1.7330
0.8061,1.7367
0.8069,1.7330
0.8076,1.7330
0.8083,1.7367
0.8091,1.7367
0.8098,1.7330
0.8106,1.7330
0.8113,1.7293
0.8120,1.7293
0.8127,1.7367
0.8135,1.7330
0.8142,1.7330
0.8149,1.7367
0.8157,1.7330
0.8164,1.7367
0.8172,1.7330
0.8180,1.7293
0.8188,1.7367
0.8195,1.7293
0.8203,1.7367
0.8211,1.7367
0.8219,1.7293
0.8227,1.7367
0.8235,1.7293
0.8243,1.7330
0.8251,1.7330
0.8259,1.7330
0.8266,1.7367
0.8274,1.7367
0.8282,1.7293
0.8290,1.7330
0.8298,1.7293
0.8306,1.7293
0.8313,1.7330
0.8321,1.7256
0.8329,1.7367
0.8337,1.7330
0.8345,1.7330
0.8352,1.7293
0.8360,1.7367
0.8367,1.7367
0.8374,1.7256
0.8382,1.7367
0.8389,1.7367
0.8397,1.7330
0.8404,1.7330
0.8412,1.7367
0.8419,1.7330
0.8427,1.7330
0.8435,1.7367
0.8442,1.7367
0.8450,1.7330
0.8457,1.7330
0.8465,1.7293
0.8472,1.7367
0.8480,1.7367
0.8487,1.7330
0.8494,1.7367
0.8502,1.7330
0.8510,1.7293
0.8518,1.7330
0.8527,1.7367
0.8534,1.7330
0.8542,1.7367
0.8550,1.7293
0.8557,1.7330
0.8565,1.7367
0.8574,1.7330
0.8582,1.7293
0.8589,1.7330
0.8597,1.7367
0.8605,1.7293
0.8612,1.7330
0.8620,1.7367
0.8628,1.7330
0.8636,1.7330
0.8643,1.7330
0.8651,1.7330
0.8659,1.7367
0.8667,1.7367
0.8675,1.7330
0.8683,1.7367
0.8690,1.7293
0.8698,1.7367
0.8705,1.7330
0.8713,1.7367
0.8721,1.7330
0.8728,1.7330
0.8736,1.7256
0.8743,1.7293
0.8750,1.7293
0.8758,1.7330
0.8765,1.7293
0.8772,1.7256
0.8780,1.7367
0.8787,1.7330
0.8794,1.7367
0.8802,1.7330
0.8810,1.7330
0.8818,1.7330
0.8826,1.7330
0.8834,1.7330
0.8842,1.7330
0.8850,1.7293
0.8858,1.7330
0.8866,1.7330
0.8874,1.7330
0.8882,1.7330
0.8890,1.7256
0.8898,1.7293
0.8905,1.7293
0.8913,1.7367
0.8921,1.7330
0.8928,1.7256
0.8936,1.7330
0.8945,1.7330
0.8952,1.7367
0.8960,1.7293
0.8967,1.7256
0.8974,1.7367
0.8982,1.7293
0.8989,1.7330
0.8997,1.7330
0.9004,1.7330
0.9012,1.7367
0.9020,1.7367
0.9028,1.7330
0.9036,1.7256
0.9044,1.7293
0.9051,1.7293
0.9059,1.7367
0.9067,1.7256
0.9075,1.7367
0.9082,1.7367
0.9089,1.7330
0.9097,1.7330
0.9104,1.7293
0.9112,1.7256
0.9119,1.7330
0.9127,1.7367
0.9134,1.7293
0.9141,1.7330
0.9148,1.7367
0.9156,1.7330
0.9163,1.7367
0.9171,1.7330
0.9179,1.7330
0.9187,1.7330
0.9194,1.7367
0.9202,1.7330
0.9210,1.7219
0.9218,1.7367
0.9225,1.7330
0.9232,1.7330
0.9239,1.7256
0.9246,1.7293
0.9253,1.7330
0.9260,1.7330
0.9267,1.7293
0.9274,1.7330
0.9282,1.7330
0.9288,1.7293
0.9295,1.7293
0.9303,1.7367
0.9310,1.7293
0.9317,1.7293
0.9325,1.7330
0.9334,1.7367
0.9342,1.7330
0.9351,1.7293
0.9358,1.7367
0.9366,1.7330
0.9374,1.7293
0.9381,1.7367
0.9389,1.7367
0.9397,1.7330
0.9406,1.7367
0.9414,1.7330
0.9422,1.7293
0.9430,1.7330
0.9437,1.7330
0.9445,1.7367
0.9453,1.7330
0.9460,1.7293
0.9467,1.7293
0.9475,1.7330
0.9483,1.7330
0.9491,1.7293
0.9498,1.7293
0.9506,1.7330
0.9514,1.7367
0.9522,1.7330
0.9530,1.7330
0.9537,1.7367
0.9545,1.7330
0.9553,1.7293
0.9560,1.7293
0.9568,1.7330
0.9575,1.7367
0.9583,1.7330
0.9591,1.7330
0.9598,1.7293
0.9606,1.7330
0.9614,1.7330
0.9622,1.7330
0.9630,1.7330
0.9638,1.7330
0.9646,1.7330
0.9654,1.7256
0.9662,1.7256
0.9670,1.7330
0.9679,1.7330
0.9689,1.7367
0.9698,1.7256
0.9706,1.7256
0.9714,1.7256
0.9722,1.7256
0.9730,1.7367
0.9738,1.7330
0.9746,1.7330
0.9754,1.7330
0.9761,1.7330
0.9768,1.7330
0.9774,1.7330
0.9780,1.7256
0.9786,1.7330
0.9792,1.7219
0.9798,1.7330
0.9805,1.7330
0.9811,1.7330
0.9817,1.7293
0.9823,1.7330
0.9829,1.7330
0.9836,1.7367
0.9843,1.7293
0.9849,1.7330
0.9855,1.7367
0.9861,1.7293
0.9868,1.7367
0.9874,1.7330
0.9881,1.7330
0.9888,1.7293
0.9897,1.7367
0.9905,1.7330
0.9912,1.7256
0.9919,1.7256
0.9927,1.7330
0.9935,1.7219
0.9942,1.7367
0.9950,1.7367
0.9958,1.7330
0.9966,1.7330
0.9973,1.7293
0.9981,1.7293
0.9988,1.7256
0.9996,1.7330
1.0004,1.7256
1.0011,1.7256
1.0018,1.7330
1.0026,1.7330
1.0034,1.7293
1.0042,1.7330
1.0049,1.7330
1.0057,1.7293
1.0064,1.7330
1.0072,1.7293
1.0079,1.7330
1.0087,1.7330
1.0094,1.7367
1.0103,1.7330
1.0111,1.7330
1.0118,1.7330
1.0125,1.7330
1.0132,1.7330
1.0139,1.7330
1.0147,1.7330
1.0154,1.7367
1.0161,1.7256
1.0169,1.7256
1.0177,1.7367
1.0184,1.7293
1.0192,1.7330
1.0199,1.7330
1.0206,1.7219
1.0214,1.7367
1.0221,1.7330
1.0229,1.7293
1.0237,1.7330
1.0245,1.7367
1.0253,1.7367
1.0260,1.7367
1.0267,1.7367
1.0275,1.7330
1.0283,1.7293
1.0290,1.7367
1.0298,1.7256
1.0306,1.7293
1.0313,1.7367
1.0321,1.7330
1.0328,1.7330
1.0337,1.7293
1.0345,1.7330
1.0352,1.7330
1.0360,1.7330
1.0367,1.7330
1.0375,1.7256
1.0382,1.7293
1.0390,1.7330
1.0397,1.7367
1.0405,1.7330
1.0412,1.7293
1.0420,1.7367
1.0427,1.7330
1.0435,1.7330
1.0443,1.7256
1.0450,1.7256
1.0458,1.7330
1.0466,1.7330
1.0473,1.7367
1.0482,1.7367
1.0490,1.7330
1.0497,1.7367
1.0504,1.7293
1.0512,1.7367
1.0520,1.7330
1.0527,1.7367
1.0535,1.7293
1.0543,1.7330
1.0550,1.7293
1.0557,1.7330
1.0565,1.7330
1.0575,1.7293
1.0586,1.7367
1.0595,1.7330
1.0605,1.7330
1.0617,1.7330
1.0627,1.7293
1.0635,1.7330
1.0644,1.7293
1.0652,1.7330
1.0660,1.7330
1.0668,1.7293
1.0676,1.7367
1.0685,1.7330
1.0694,1.7330
1.0703,1.7330
1.0711,1.7330
1.0720,1.7293
1.0729,1.7330
1.0738,1.7330
1.0747,1.7256
1.0755,1.7330
1.0764,1.7330
1.0773,1.7330
1.0782,1.7293
1.0790,1.7293
1.0799,1.7293
