Время[с],Напряжение[В]
0.4731,1.8814
0.4738,1.8814
0.4746,1.8777
0.4753,1.8777
0.4763,1.8740
0.4771,1.8777
0.4780,1.8814
0.4790,1.8777
0.4803,1.8777
0.4811,1.8777
0.4819,1.8740
0.4827,1.8740
0.4834,1.8777
0.4843,1.8777
0.4850,1.8814
0.4858,1.8814
0.4866,1.8814
0.4874,1.8777
0.4882,1.8740
0.4890,1.8814
0.4898,1.8814
0.4906,1.8777
0.4914,1.8777
0.4921,1.8814
0.4929,1.8814
0.4938,1.8703
0.4945,1.8777
0.4953,1.8740
0.4961,1.8777
0.4969,1.8777
0.4976,1.8777
0.4984,1.8740
0.4992,1.8777
0.5000,1.8740
0.5008,1.8777
0.5016,1.8814
0.5023,1.8814
0.5030,1.8740
0.5038,1.8814
0.5046,1.8740
0.5054,1.8740
0.5062,1.8814
0.5069,1.8814
0.5077,1.8814
0.5085,1.8814
0.5093,1.8814
0.5102,1.8814
0.5111,1.8777
0.5120,1.8777
0.5129,1.8814
0.5138,1.8814
0.5146,1.8814
0.5154,1.8703
0.5162,1.8703
0.5170,1.8777
0.5178,1.8740
0.5186,1.8814
0.5194,1.8777
0.5202,1.8814
0.5210,1.8777
0.5218,1.8777
0.5226,1.8814
0.5234,1.8777
0.5243,1.8814
0.5251,1.8814
0.5259,1.8740
0.5267,1.8814
0.5275,1.8703
0.5285,1.8740
0.5293,1.8777
0.5302,1.8777
0.5310,1.8740
0.5317,1.8814
0.5325,1.8777
0.5333,1.8814
0.5341,1.8814
0.5348,1.8814
0.5356,1.8777
0.5364,1.8740
0.5371,1.8703
0.5379,1.8740
0.5386,1.8814
0.5394,1.8740
0.5402,1.8814
0.5409,1.8740
0.5417,1.8777
0.5425,1.8852
0.5432,1.8814
0.5440,1.8814
0.5448,1.8814
0.5457,1.8777
0.5465,1.8814
0.5473,1.8814
0.5482,1.8703
0.5490,1.8740
0.5498,1.8814
0.5506,1.8777
0.5515,1.8777
0.5523,1.8777
0.5531,1.8814
0.5539,1.8814
0.5546,1.8740
0.5554,1.8777
0.5562,1.8777
0.5569,1.8777
0.5577,1.8814
0.5584,1.8814
0.5591,1.8814
0.5599,1.8814
0.5606,1.8814
0.5614,1.8777
0.5621,1.8814
0.5629,1.8814
0.5637,1.8777
0.5644,1.8814
0.5652,1.8703
0.5660,1.8814
0.5668,1.8814
0.5676,1.8777
0.5685,1.8777
0.5694,1.8777
0.5702,1.8777
0.5711,1.8814
0.5719,1.8740
0.5727,1.8814
0.5734,1.8777
0.5741,1.8777
0.5751,1.8814
0.5760,1.8777
0.5769,1.8777
0.5778,1.8814
0.5787,1.8814
0.5797,1.8814
0.5805,1.8814
0.5813,1.8740
0.5821,1.8814
0.5830,1.8777
0.5838,1.8814
0.5845,1.8703
0.5854,1.8777
0.5861,1.8740
0.5869,1.8814
0.5877,1.8777
0.5884,1.8777
0.5892,1.8777
0.5900,1.8777
0.5908,1.8814
0.5915,1.8703
0.5923,1.8740
0.5932,1.8777
0.5940,1.8777
0.5948,1.8814
0.5957,1.8814
0.5965,1.8814
0.5973,1.8777
0.5981,1.8777
0.5990,1.8740
0.5998,1.8814
0.6006,1.8740
0.6014,1.8814
0.6022,1.8740
0.6030,1.8777
0.6038,1.8814
0.6046,1.8814
0.6054,1.8740
0.6061,1.8703
0.6070,1.8777
0.6078,1.8814
0.6086,1.8814
0.6093,1.8814
0.6101,1.8740
0.6109,1.8814
0.6118,1.8777
0.6127,1.8703
0.6135,1.8777
0.6144,1.8814
0.6152,1.8814
0.6161,1.8777
0.6169,1.8814
0.6176,1.8814
0.6184,1.8777
0.6191,1.8703
0.6199,1.8777
0.6207,1.8777
0.6215,1.8740
0.6223,1.8814
0.6231,1.8777
0.6238,1.8703
0.6247,1.8777
0.6255,1.8814
0.6264,1.8814
0.6272,1.8777
0.6280,1.8814
0.6288,1.8814
0.6296,1.8777
0.6303,1.8703
0.6312,1.8814
0.6320,1.8740
0.6328,1.8814
0.6336,1.8777
0.6345,1.8814
0.6353,1.8814
0.6361,1.8852
0.6369,1.8777
0.6376,1.8777
0.6384,1.8777
0.6392,1.8814
0.6400,1.8740
0.6409,1.8703
0.6417,1.8814
0.6424,1.8814
0.6432,1.8814
0.6440,1.8814
0.6448,1.8777
0.6455,1.8777
0.6463,1.8777
0.6470,1.8777
0.6478,1.8703
0.6485,1.8740
0.6493,1.8814
0.6504,1.8740
0.6513,1.8814
0.6521,1.8814
0.6529,1.8777
0.6537,1.8814
0.6544,1.8814
0.6551,1.8777
0.6557,1.8814
0.6563,1.8740
0.6569,1.8814
0.6575,1.8740
0.6582,1.8740
0.6588,1.8703
0.6594,1.8814
0.6601,1.8814
0.6607,1.8777
0.6613,1.8777
0.6620,1.8777
0.6626,1.8814
0.6633,1.8814
0.6640,1.8814
0.6646,1.8740
0.6654,1.8814
0.6660,1.8777
0.6667,1.8703
0.6674,1.8777
0.6681,1.8814
0.6688,1.8777
0.6695,1.8814
0.6702,1.8814
0.6709,1.8740
0.6717,1.8777
0.6724,1.8814
0.6731,1.8814
0.6738,1.8703
0.6746,1.8777
0.6753,1.8777
0.6761,1.8814
0.6767,1.8814
0.6775,1.8814
0.6782,1.8814
0.6790,1.8814
0.6797,1.8703
0.6804,1.8777
0.6811,1.8777
0.6818,1.8777
0.6826,1.8814
0.6832,1.8777
0.6840,1.8740
0.6846,1.8814
0.6854,1.8814
0.6861,1.8814
0.6868,1.8777
0.6876,1.8740
0.6883,1.8777
0.6889,1.8777
0.6896,1.8814
0.6903,1.8814
0.6911,1.8740
0.6918,1.8814
0.6925,1.8740
0.6932,1.8814
0.6939,1.8814
0.6947,1.8740
0.6954,1.8777
0.6962,1.8814
0.6969,1.8740
0.6977,1.8740
0.6984,1.8814
0.6992,1.8814
0.6999,1.8814
0.7007,1.8777
0.7014,1.8777
0.7022,1.8814
0.7029,1.8814
0.7036,1.8814
0.7043,1.8703
0.7051,1.8814
0.7059,1.8777
0.7066,1.8740
0.7074,1.8814
0.7081,1.8777
0.7088,1.8814
0.7095,1.8703
0.7103,1.8740
0.7110,1.8777
0.7117,1.8814
0.7125,1.8814
0.7132,1.8814
0.7139,1.8814
0.7147,1.8740
0.7155,1.8777
0.7162,1.8777
0.7169,1.8814
0.7177,1.8740
0.7185,1.8814
0.7192,1.8814
0.7199,1.8740
0.7207,1.8740
0.7214,1.8814
0.7222,1.8814
0.7229,1.8740
0.7236,1.8703
0.7243,1.8852
0.7251,1.8740
0.7259,1.8740
0.7266,1.8814
0.7273,1.8814
0.7281,1.8852
0.7288,1.8814
0.7296,1.8814
0.7304,1.8777
0.7311,1.8852
0.7318,1.8777
0.7326,1.8814
0.7333,1.8740
0.7341,1.8777
0.7348,1.8814
0.7355,1.8814
0.7363,1.8814
0.7370,1.8814
0.7378,1.8740
0.7385,1.8814
0.7392,1.8703
0.7400,1.8852
0.7407,1.8777
0.7415,1.8740
0.7422,1.8777
0.7429,1.8814
0.7437,1.8740
0.7444,1.8740
0.7451,1.8814
0.7459,1.8777
0.7467,1.8740
0.7474,1.8740
0.7483,1.8777
0.7490,1.8814
0.7498,1.8777
