Время[с],Напряжение[В]
0.4961,1.7590
0.4969,1.7590
0.4977,1.7516
0.4986,1.7516
0.4995,1.7590
0.5003,1.7590
0.5011,1.7516
0.5019,1.7516
0.5027,1.7590
0.5036,1.7590
0.5044,1.7590
0.5052,1.7516
0.5060,1.7590
0.5068,1.7627
0.5077,1.7590
0.5085,1.7553
0.5094,1.7553
0.5102,1.7590
0.5110,1.7516
0.5119,1.7627
0.5128,1.7553
0.5138,1.7553
0.5147,1.7516
0.5156,1.7516
0.5166,1.7590
0.5175,1.7590
0.5184,1.7590
0.5192,1.7553
0.5200,1.7590
0.5208,1.7590
0.5215,1.7590
0.5223,1.7590
0.5231,1.7590
0.5242,1.7590
0.5254,1.7553
0.5265,1.7516
0.5273,1.7516
0.5281,1.7590
0.5289,1.7516
0.5297,1.7516
0.5305,1.7590
0.5313,1.7590
0.5322,1.7516
0.5331,1.7516
0.5339,1.7553
0.5347,1.7627
0.5355,1.7553
0.5363,1.7553
0.5370,1.7516
0.5377,1.7516
0.5384,1.7590
0.5392,1.7590
0.5401,1.7553
0.5409,1.7590
0.5417,1.7590
0.5425,1.7516
0.5433,1.7590
0.5440,1.7590
0.5449,1.7553
0.5456,1.7516
0.5465,1.7590
0.5474,1.7590
0.5482,1.7516
0.5491,1.7553
0.5499,1.7553
0.5506,1.7553
0.5514,1.7553
0.5523,1.7590
0.5531,1.7590
0.5539,1.7590
0.5547,1.7590
0.5555,1.7590
0.5563,1.7479
0.5570,1.7553
0.5578,1.7590
0.5586,1.7590
0.5594,1.7553
0.5602,1.7590
0.5610,1.7553
0.5617,1.7553
0.5625,1.7516
0.5633,1.7553
0.5641,1.7627
0.5648,1.7553
0.5656,1.7553
0.5663,1.7590
0.5675,1.7590
0.5685,1.7553
0.5698,1.7516
0.5709,1.7590
0.5718,1.7553
0.5727,1.7590
0.5735,1.7590
0.5744,1.7627
0.5752,1.7516
0.5760,1.7553
0.5769,1.7590
0.5777,1.7590
0.5785,1.7590
0.5794,1.7516
0.5802,1.7590
0.5810,1.7590
0.5818,1.7590
0.5825,1.7590
0.5833,1.7590
0.5841,1.7590
0.5848,1.7590
0.5855,1.7516
0.5863,1.7590
0.5870,1.7590
0.5878,1.7516
0.5885,1.7553
0.5893,1.7590
0.5901,1.7516
0.5909,1.7516
0.5917,1.7553
0.5925,1.7553
0.5933,1.7553
0.5941,1.7627
0.5950,1.7553
0.5957,1.7553
0.5965,1.7516
0.5973,1.7590
0.5981,1.7516
0.5989,1.7553
0.5996,1.7516
0.6003,1.7553
0.6011,1.7553
0.6018,1.7590
0.6025,1.7553
0.6033,1.7590
0.6040,1.7590
0.6048,1.7516
0.6055,1.7553
0.6062,1.7590
0.6069,1.7553
0.6077,1.7516
0.6085,1.7590
0.6092,1.7590
0.6099,1.7590
0.6107,1.7553
0.6115,1.7553
0.6123,1.7590
0.6130,1.7590
0.6138,1.7516
0.6146,1.7516
0.6154,1.7590
0.6162,1.7590
0.6169,1.7590
0.6178,1.7553
0.6185,1.7516
0.6193,1.7590
0.6202,1.7590
0.6210,1.7590
0.6219,1.7627
0.6227,1.7590
0.6235,1.7479
0.6243,1.7516
0.6251,1.7553
0.6259,1.7590
0.6267,1.7590
0.6274,1.7553
0.6283,1.7553
0.6290,1.7590
0.6298,1.7553
0.6306,1.7553
0.6313,1.7590
0.6321,1.7553
0.6329,1.7590
0.6337,1.7590
0.6345,1.7553
0.6353,1.7553
0.6361,1.7627
0.6369,1.7516
0.6377,1.7590
0.6385,1.7590
0.6393,1.7479
0.6401,1.7553
0.6409,1.7590
0.6417,1.7553
0.6426,1.7590
0.6434,1.7516
0.6442,1.7553
0.6449,1.7553
0.6457,1.7553
0.6465,1.7590
0.6473,1.7553
0.6481,1.7590
0.6488,1.7516
0.6496,1.7479
0.6504,1.7516
0.6511,1.7516
0.6519,1.7553
0.6527,1.7516
0.6535,1.7590
0.6542,1.7590
0.6550,1.7516
0.6558,1.7553
0.6565,1.7516
0.6573,1.7553
0.6581,1.7590
0.6589,1.7516
0.6597,1.7516
0.6604,1.7590
0.6612,1.7516
0.6620,1.7479
0.6628,1.7553
0.6636,1.7516
0.6644,1.7479
0.6651,1.7590
0.6659,1.7590
0.6666,1.7590
0.6673,1.7516
0.6681,1.7553
0.6688,1.7590
0.6695,1.7553
0.6703,1.7590
0.6711,1.7590
0.6718,1.7590
0.6726,1.7516
0.6733,1.7553
0.6741,1.7553
0.6748,1.7516
0.6755,1.7590
0.6763,1.7627
0.6771,1.7590
0.6779,1.7479
0.6786,1.7590
0.6794,1.7590
0.6802,1.7590
0.6810,1.7553
0.6819,1.7553
0.6826,1.7553
0.6834,1.7590
0.6842,1.7553
0.6850,1.7553
0.6858,1.7516
0.6866,1.7479
0.6874,1.7590
0.6882,1.7553
0.6890,1.7590
0.6898,1.7553
0.6905,1.7590
0.6913,1.7590
0.6921,1.7516
0.6929,1.7590
0.6937,1.7590
0.6945,1.7516
0.6953,1.7553
0.6961,1.7590
0.6969,1.7553
0.6977,1.7553
0.6985,1.7516
0.6993,1.7516
0.7001,1.7553
0.7009,1.7590
0.7016,1.7590
0.7024,1.7590
0.7031,1.7590
0.7039,1.7516
0.7046,1.7590
0.7054,1.7516
0.7062,1.7553
0.7070,1.7590
0.7077,1.7516
0.7085,1.7590
0.7092,1.7590
0.7100,1.7590
0.7107,1.7553
0.7115,1.7516
0.7123,1.7553
0.7130,1.7553
0.7138,1.7516
0.7145,1.7553
0.7152,1.7553
0.7160,1.7590
0.7168,1.7553
0.7175,1.7553
0.7182,1.7590
0.7190,1.7516
0.7198,1.7516
0.7205,1.7553
0.7213,1.7590
0.7221,1.7590
0.7229,1.7516
0.7237,1.7590
0.7245,1.7516
0.7253,1.7516
0.7261,1.7590
0.7269,1.7590
0.7277,1.7553
0.7285,1.7553
0.7292,1.7553
0.7300,1.7516
0.7308,1.7516
0.7315,1.7590
0.7323,1.7590
0.7330,1.7590
0.7338,1.7516
0.7345,1.7516
0.7353,1.7516
0.7360,1.7590
0.7368,1.7590
0.7375,1.7590
0.7382,1.7590
0.7390,1.7590
0.7397,1.7553
0.7406,1.7553
0.7414,1.7590
0.7421,1.7590
0.7430,1.7516
0.7437,1.7553
0.7445,1.7590
0.7453,1.7590
0.7461,1.7553
0.7469,1.7553
0.7477,1.7553
0.7485,1.7590
0.7493,1.7553
0.7501,1.7553
0.7509,1.7553
0.7517,1.7553
0.7525,1.7553
0.7533,1.7590
0.7541,1.7516
0.7549,1.7553
0.7557,1.7516
0.7565,1.7590
0.7573,1.7590
0.7581,1.7590
0.7589,1.7516
0.7597,1.7516
0.7605,1.7516
0.7612,1.7553
0.7620,1.7553
0.7627,1.7590
0.7635,1.7590
0.7643,1.7516
0.7651,1.7553
0.7658,1.7590
0.7666,1.7516
0.7673,1.7516
0.7681,1.7553
0.7688,1.7553
0.7696,1.7553
0.7704,1.7516
0.7712,1.7553
0.7720,1.7553
0.7728,1.7553
0.7736,1.7553
0.7744,1.7553
0.7752,1.7590
0.7760,1.7590
0.7768,1.7553
0.7776,1.7590
0.7784,1.7590
0.7792,1.7516
0.7800,1.7553
0.7807,1.7627
0.7815,1.7553
0.7823,1.7553
0.7830,1.7590
0.7838,1.7590
0.7846,1.7516
0.7853,1.7590
0.7861,1.7516
0.7868,1.7590
0.7876,1.7590
0.7884,1.7553
0.7891,1.7553
0.7899,1.7516
0.7907,1.7590
0.7915,1.7590
0.7923,1.7590
0.7931,1.7590
0.7939,1.7590
0.7947,1.7590
0.7955,1.7553
0.7963,1.7590
0.7971,1.7516
0.7979,1.7479
0.7987,1.7590
0.7995,1.7553
0.8003,1.7590
0.8011,1.7553
0.8018,1.7553
0.8026,1.7516
0.8033,1.7479
0.8041,1.7590
0.8049,1.7590
0.8057,1.7479
0.8064,1.7553
0.8072,1.7553
0.8080,1.7516
0.8088,1.7516
0.8096,1.7590
0.8104,1.7553
0.8112,1.7516
0.8119,1.7590
0.8127,1.7590
0.8134,1.7553
0.8142,1.7516
0.8149,1.7516
0.8157,1.7590
0.8164,1.7553
0.8171,1.7516
0.8179,1.7553
0.8186,1.7590
0.8193,1.7590
0.8201,1.7516
0.8208,1.7553
0.8216,1.7516
0.8223,1.7479
0.8231,1.7590
0.8238,1.7590
0.8245,1.7553
0.8253,1.7553
0.8260,1.7553
0.8267,1.7553
0.8275,1.7553
0.8282,1.7590
0.8290,1.7553
0.8298,1.7553
0.8306,1.7590
0.8314,1.7516
0.8322,1.7590
0.8329,1.7553
0.8337,1.7553
0.8345,1.7516
0.8354,1.7553
0.8362,1.7479
0.8370,1.7590
0.8378,1.7553
0.8386,1.7590
0.8394,1.7479
0.8402,1.7553
0.8410,1.7553
0.8418,1.7516
0.8425,1.7553
0.8434,1.7553
0.8441,1.7590
0.8449,1.7553
0.8457,1.7590
0.8465,1.7479
0.8472,1.7516
0.8480,1.7479
0.8488,1.7590
0.8496,1.7553
0.8503,1.7553
0.8511,1.7553
0.8518,1.7590
0.8526,1.7553
0.8533,1.7590
0.8541,1.7516
0.8548,1.7553
0.8555,1.7590
0.8563,1.7590
0.8570,1.7553
0.8578,1.7590
0.8586,1.7590
0.8594,1.7553
0.8602,1.7479
0.8611,1.7553
0.8619,1.7553
0.8627,1.7590
0.8635,1.7553
0.8643,1.7516
0.8650,1.7553
0.8657,1.7590
0.8665,1.7590
0.8672,1.7590
0.8680,1.7590
0.8688,1.7553
0.8695,1.7553
0.8703,1.7553
0.8710,1.7553
0.8718,1.7590
0.8726,1.7590
0.8734,1.7553
0.8741,1.7553
0.8749,1.7553
0.8757,1.7516
0.8764,1.7553
0.8771,1.7553
0.8779,1.7553
0.8786,1.7590
0.8793,1.7553
0.8802,1.7590
0.8809,1.7553
0.8817,1.7553
0.8825,1.7553
0.8833,1.7553
0.8840,1.7516
0.8848,1.7516
0.8856,1.7553
0.8864,1.7516
0.8871,1.7553
0.8879,1.7553
0.8887,1.7516
0.8895,1.7553
0.8903,1.7516
0.8911,1.7516
0.8918,1.7553
0.8926,1.7590
0.8933,1.7479
0.8940,1.7553
0.8948,1.7590
0.8956,1.7590
0.8963,1.7479
0.8971,1.7516
0.8979,1.7516
0.8986,1.7516
0.8994,1.7516
0.9002,1.7516
0.9009,1.7590
0.9016,1.7553
0.9026,1.7553
0.9033,1.7553
0.9055,1.7516
0.9063,1.7553
0.9071,1.7553
0.9079,1.7590
0.9087,1.7516
0.9095,1.7516
0.9104,1.7553
0.9112,1.7516
0.9120,1.7590
0.9128,1.7516
0.9136,1.7553
0.9144,1.7553
0.9152,1.7590
0.9159,1.7553
0.9167,1.7553
0.9175,1.7516
0.9183,1.7590
0.9191,1.7553
0.9198,1.7590
0.9206,1.7553
0.9214,1.7553
0.9223,1.7553
0.9232,1.7590
0.9241,1.7553
0.9252,1.7590
0.9263,1.7516
0.9275,1.7553
0.9284,1.7479
0.9295,1.7590
0.9303,1.7516
0.9311,1.7553
0.9319,1.7553
0.9329,1.7553
0.9338,1.7553
0.9347,1.7590
0.9356,1.7590
0.9364,1.7516
0.9373,1.7553
0.9382,1.7516
0.9391,1.7590
0.9399,1.7553
0.9408,1.7590
0.9416,1.7590
0.9425,1.7553
0.9433,1.7516
0.9442,1.7516
0.9450,1.7590
0.9458,1.7590
0.9467,1.7590
0.9475,1.7479
0.9483,1.7553
0.9491,1.7516
0.9499,1.7553
0.9508,1.7590
0.9517,1.7590
0.9525,1.7590
0.9534,1.7553
0.9543,1.7553
0.9552,1.7553
0.9560,1.7516
0.9568,1.7590
0.9578,1.7553
0.9587,1.7553
0.9596,1.7516
0.9604,1.7590
0.9612,1.7553
0.9620,1.7553
0.9628,1.7516
0.9637,1.7516
0.9645,1.7516
0.9653,1.7516
0.9661,1.7553
0.9669,1.7590
0.9677,1.7516
0.9685,1.7516
0.9693,1.7553
0.9701,1.7553
0.9709,1.7516
0.9717,1.7553
0.9725,1.7590
0.9733,1.7590
0.9743,1.7553
0.9752,1.7516
0.9761,1.7590
0.9769,1.7441
0.9777,1.7590
0.9785,1.7590
0.9792,1.7590
0.9799,1.7590
0.9805,1.7553
0.9812,1.7553
0.9818,1.7590
0.9825,1.7590
0.9831,1.7553
0.9838,1.7516
0.9844,1.7553
0.9851,1.7590
0.9858,1.7553
0.9864,1.7516
0.9871,1.7590
0.9877,1.7516
0.9883,1.7627
0.9890,1.7553
0.9898,1.7516
0.9906,1.7590
0.9913,1.7516
0.9921,1.7553
0.9929,1.7516
0.9937,1.7553
0.9945,1.7590
0.9952,1.7553
0.9960,1.7553
0.9967,1.7553
0.9975,1.7516
0.9983,1.7516
0.9990,1.7479
0.9998,1.7590
1.0005,1.7590
1.0013,1.7553
1.0020,1.7479
1.0027,1.7553
1.0034,1.7590
1.0041,1.7553
1.0049,1.7479
1.0056,1.7590
1.0064,1.7553
1.0071,1.7553
1.0079,1.7553
1.0087,1.7516
1.0095,1.7590
1.0104,1.7590
1.0112,1.7516
1.0119,1.7590
1.0126,1.7516
1.0133,1.7590
1.0140,1.7553
1.0147,1.7553
1.0155,1.7553
1.0161,1.7516
1.0168,1.7516
1.0175,1.7590
1.0182,1.7590
1.0189,1.7553
1.0196,1.7590
1.0204,1.7553
1.0211,1.7590
1.0218,1.7553
1.0226,1.7516
1.0234,1.7553
1.0241,1.7590
1.0249,1.7553
1.0256,1.7516
1.0263,1.7553
1.0271,1.7516
