Время[с],Напряжение[В]
0.5971,1.7033
0.5981,1.7033
0.5989,1.7033
0.5998,1.6959
0.6007,1.7070
0.6014,1.6996
0.6021,1.7033
0.6029,1.6959
0.6036,1.7033
0.6043,1.6959
0.6051,1.7033
0.6058,1.6996
0.6065,1.6959
0.6072,1.7033
0.6079,1.7033
0.6086,1.7033
0.6094,1.7033
0.6101,1.6996
0.6108,1.6996
0.6115,1.7033
0.6122,1.7033
0.6129,1.7033
0.6137,1.7033
0.6144,1.7033
0.6151,1.7033
0.6158,1.6996
0.6165,1.7070
0.6173,1.7033
0.6180,1.7033
0.6188,1.7070
0.6196,1.7033
0.6204,1.7033
0.6212,1.6996
0.6220,1.6959
0.6227,1.7033
0.6234,1.7033
0.6241,1.6959
0.6248,1.7033
0.6255,1.7033
0.6262,1.7033
0.6270,1.7033
0.6278,1.7033
0.6285,1.7033
0.6293,1.6959
0.6300,1.7033
0.6308,1.6996
0.6317,1.7033
0.6326,1.7033
0.6334,1.6996
0.6343,1.6996
0.6351,1.6996
0.6358,1.7033
0.6366,1.6996
0.6374,1.6996
0.6383,1.7033
0.6391,1.7033
0.6399,1.7033
0.6407,1.6959
0.6415,1.7033
0.6423,1.6996
0.6432,1.7033
0.6440,1.7033
0.6448,1.7033
0.6456,1.7033
0.6464,1.7033
0.6472,1.6922
0.6480,1.6959
0.6488,1.7033
0.6501,1.7033
0.6514,1.7070
0.6525,1.7033
0.6534,1.7033
0.6542,1.7033
0.6550,1.7033
0.6558,1.7033
0.6566,1.6959
0.6574,1.6996
0.6582,1.7033
0.6590,1.7033
0.6597,1.7033
0.6606,1.7033
0.6613,1.7033
0.6621,1.7033
0.6629,1.7033
0.6637,1.7033
0.6644,1.6922
0.6652,1.6996
0.6660,1.6996
0.6668,1.7070
0.6677,1.6996
0.6685,1.6996
0.6692,1.7033
0.6700,1.6996
0.6708,1.6959
0.6716,1.6959
0.6724,1.6996
0.6732,1.6996
0.6740,1.6959
0.6748,1.7033
0.6755,1.7033
0.6763,1.7033
0.6772,1.6959
0.6780,1.7033
0.6787,1.6959
0.6795,1.6996
0.6802,1.7033
0.6811,1.7033
0.6819,1.7033
0.6828,1.7033
0.6837,1.7033
0.6845,1.6959
0.6853,1.6959
0.6861,1.7033
0.6871,1.6996
0.6879,1.7033
0.6887,1.6996
0.6894,1.7033
0.6902,1.7033
0.6909,1.7033
0.6917,1.7033
0.6925,1.6996
0.6933,1.6996
0.6941,1.7033
0.6949,1.7033
0.6957,1.6996
0.6964,1.6996
0.6972,1.7033
0.6981,1.6996
0.6988,1.7033
0.6996,1.7033
0.7004,1.6922
0.7012,1.7033
0.7020,1.6996
0.7027,1.7033
0.7035,1.7033
0.7042,1.7033
0.7049,1.7033
0.7056,1.7033
0.7064,1.7033
0.7071,1.6996
0.7079,1.6996
0.7086,1.6959
0.7093,1.7033
0.7100,1.7033
0.7108,1.7033
0.7115,1.6959
0.7122,1.7033
0.7129,1.7033
0.7136,1.7033
0.7143,1.7033
0.7150,1.7033
0.7157,1.7033
0.7165,1.6996
0.7172,1.7033
0.7180,1.7033
0.7187,1.7033
0.7195,1.7033
0.7202,1.7033
0.7210,1.6996
0.7217,1.7033
0.7225,1.6996
0.7233,1.7033
0.7240,1.7033
0.7248,1.6996
0.7255,1.7033
0.7263,1.7033
0.7270,1.7033
0.7278,1.7033
0.7285,1.7033
0.7292,1.7033
0.7300,1.6959
0.7307,1.6922
0.7314,1.7033
0.7321,1.7033
0.7329,1.7033
0.7336,1.7033
0.7343,1.6996
0.7350,1.7033
0.7358,1.6996
0.7365,1.7033
0.7373,1.6996
0.7380,1.7033
0.7389,1.7033
0.7396,1.6922
0.7403,1.6996
0.7411,1.7033
0.7419,1.6959
0.7426,1.6996
0.7434,1.6922
0.7441,1.7033
0.7448,1.7033
0.7456,1.7033
0.7464,1.6996
0.7472,1.7033
0.7479,1.6996
0.7486,1.6996
0.7496,1.6959
0.7504,1.6996
0.7512,1.7033
0.7521,1.7033
0.7529,1.6996
0.7538,1.7033
0.7546,1.7033
0.7554,1.6996
0.7562,1.6959
0.7571,1.7033
0.7578,1.7033
0.7586,1.6996
0.7594,1.7033
0.7601,1.7033
0.7609,1.7033
0.7616,1.6996
0.7623,1.6959
0.7631,1.7033
0.7638,1.6996
0.7646,1.6996
0.7653,1.6959
0.7664,1.7033
0.7693,1.7033
0.7701,1.6922
0.7710,1.7033
0.7719,1.7033
0.7727,1.6996
0.7735,1.7033
0.7743,1.6996
0.7751,1.7033
0.7759,1.6996
0.7768,1.6996
0.7776,1.6922
0.7784,1.7033
0.7792,1.6996
0.7801,1.6996
0.7809,1.6996
0.7817,1.7033
0.7824,1.7033
0.7833,1.6996
0.7841,1.6996
0.7848,1.6996
0.7856,1.6996
0.7863,1.6996
0.7871,1.6959
0.7879,1.7033
0.7887,1.6996
0.7894,1.6922
0.7902,1.7033
0.7910,1.7033
0.7917,1.7033
0.7925,1.6959
0.7932,1.6922
0.7940,1.7033
0.7947,1.6996
0.7955,1.7033
0.7962,1.7033
0.7970,1.6959
0.7978,1.7033
0.7985,1.7033
0.7993,1.7033
0.8002,1.6996
0.8009,1.7033
0.8017,1.6996
0.8025,1.7033
0.8033,1.6996
0.8041,1.6922
0.8049,1.6996
0.8058,1.6996
0.8066,1.6996
0.8074,1.7033
0.8082,1.7033
0.8090,1.6996
0.8098,1.6996
0.8107,1.6959
0.8115,1.7033
0.8123,1.6922
0.8130,1.6996
0.8138,1.7033
0.8146,1.6959
0.8154,1.6996
0.8161,1.7033
0.8170,1.7033
0.8179,1.6996
0.8187,1.6996
0.8196,1.7033
0.8204,1.6959
0.8212,1.6959
0.8220,1.6996
0.8228,1.6996
0.8235,1.6922
0.8243,1.6922
0.8250,1.7033
0.8257,1.7033
0.8264,1.6996
0.8272,1.6996
0.8279,1.6996
0.8286,1.6922
0.8294,1.6996
0.8302,1.6922
0.8309,1.6922
0.8317,1.6996
0.8325,1.7033
0.8333,1.6996
0.8341,1.6959
0.8348,1.6996
0.8356,1.6996
0.8364,1.7033
0.8371,1.6922
0.8380,1.6996
0.8388,1.7033
0.8396,1.7033
0.8404,1.7033
0.8412,1.7033
0.8420,1.6996
0.8428,1.6996
0.8436,1.6996
0.8444,1.6996
0.8452,1.6996
0.8460,1.6996
0.8469,1.7033
0.8477,1.6996
0.8485,1.6996
0.8493,1.6959
0.8501,1.7033
0.8509,1.6996
0.8518,1.7033
0.8526,1.6996
0.8534,1.6996
0.8542,1.6959
0.8549,1.6996
0.8557,1.6959
0.8564,1.7033
0.8572,1.6996
0.8579,1.6996
0.8586,1.6959
0.8593,1.7033
0.8600,1.6922
0.8607,1.6996
0.8615,1.7033
0.8622,1.6996
0.8629,1.6959
0.8636,1.6996
0.8644,1.6996
0.8651,1.6996
0.8658,1.6996
0.8666,1.6996
0.8674,1.6996
0.8681,1.6959
0.8689,1.6996
0.8696,1.6996
0.8704,1.6959
0.8711,1.6996
0.8719,1.6996
0.8726,1.6996
0.8734,1.6996
0.8742,1.6996
0.8750,1.6996
0.8757,1.6996
0.8765,1.6996
0.8773,1.6959
0.8781,1.6996
0.8788,1.6959
0.8796,1.6996
0.8804,1.6996
0.8812,1.6922
0.8819,1.6996
0.8827,1.6996
0.8835,1.7033
0.8843,1.6996
0.8851,1.6922
0.8859,1.7033
0.8868,1.7033
0.8875,1.7033
0.8884,1.6996
0.8891,1.6959
0.8899,1.6996
0.8906,1.6959
0.8914,1.7033
0.8921,1.6996
0.8929,1.7033
0.8936,1.6959
0.8944,1.7033
0.8953,1.7070
0.8961,1.7033
0.8968,1.7070
0.8976,1.6959
0.8985,1.6959
0.8993,1.6996
0.9001,1.7033
0.9009,1.7033
0.9017,1.7033
0.9025,1.7070
0.9033,1.7033
0.9044,1.6996
0.9053,1.7033
0.9062,1.7033
0.9071,1.7033
0.9080,1.6959
0.9088,1.7033
0.9095,1.6996
0.9102,1.7033
0.9109,1.7033
0.9116,1.7033
0.9123,1.7033
0.9129,1.6959
0.9136,1.7033
0.9143,1.6996
0.9150,1.7070
0.9157,1.7033
0.9164,1.7033
0.9171,1.7033
0.9178,1.6922
0.9186,1.7033
0.9193,1.7033
0.9200,1.7033
0.9207,1.6996
0.9214,1.7033
0.9221,1.6996
0.9228,1.6996
0.9235,1.7033
0.9242,1.7033
0.9249,1.6996
0.9256,1.7033
0.9263,1.7033
0.9270,1.6959
0.9278,1.7033
0.9286,1.6996
0.9293,1.6996
0.9300,1.7033
0.9308,1.6996
0.9316,1.6959
0.9325,1.7070
0.9333,1.7033
0.9340,1.7033
0.9347,1.6996
0.9355,1.6996
0.9363,1.7033
0.9371,1.6996
0.9379,1.7070
0.9386,1.7070
0.9393,1.7033
0.9401,1.6922
0.9408,1.7033
0.9415,1.7033
0.9423,1.7033
0.9430,1.6996
0.9438,1.6922
0.9445,1.7033
0.9453,1.6959
0.9460,1.7033
0.9467,1.7033
0.9475,1.7033
0.9483,1.6996
0.9491,1.6996
0.9499,1.7033
0.9507,1.7033
0.9515,1.7033
0.9523,1.7033
0.9531,1.6996
0.9538,1.6922
0.9545,1.6996
0.9552,1.6922
0.9560,1.6996
0.9568,1.7033
0.9575,1.7033
0.9583,1.6959
0.9591,1.6996
0.9599,1.7033
0.9607,1.7033
0.9614,1.7033
0.9622,1.7033
0.9630,1.7033
0.9637,1.6996
0.9644,1.7033
0.9652,1.7033
0.9659,1.7033
0.9667,1.6996
0.9675,1.6959
0.9682,1.7033
0.9690,1.6959
0.9697,1.6959
0.9704,1.7033
0.9712,1.7033
0.9719,1.6996
0.9726,1.7033
0.9733,1.7033
0.9741,1.7033
0.9748,1.6996
0.9755,1.6996
0.9763,1.7033
0.9770,1.7033
0.9777,1.6996
0.9785,1.6959
0.9793,1.6996
0.9800,1.6959
0.9808,1.6996
0.9815,1.7033
0.9823,1.7033
0.9831,1.6996
0.9839,1.7033
0.9847,1.7033
0.9855,1.7033
0.9863,1.6996
0.9871,1.6996
0.9878,1.6996
0.9885,1.7033
0.9892,1.6996
0.9899,1.7033
0.9906,1.6959
0.9913,1.6996
0.9920,1.7033
0.9928,1.6885
0.9935,1.6959
0.9943,1.6959
0.9951,1.6996
0.9959,1.6996
0.9967,1.7033
0.9975,1.6996
0.9982,1.7033
0.9989,1.6959
0.9997,1.6959
1.0004,1.7033
1.0012,1.6922
1.0020,1.6996
1.0028,1.7033
1.0035,1.6996
1.0042,1.6922
1.0049,1.6996
1.0057,1.6959
1.0065,1.6996
1.0072,1.7033
1.0079,1.7033
1.0087,1.7033
1.0095,1.6922
1.0102,1.7033
1.0110,1.6959
1.0118,1.6996
1.0125,1.6996
1.0132,1.7033
1.0139,1.6959
1.0146,1.6959
1.0154,1.7033
1.0162,1.7033
1.0170,1.6996
1.0178,1.6959
1.0185,1.6996
1.0192,1.6922
1.0199,1.7033
1.0207,1.7033
1.0215,1.6922
1.0223,1.6996
1.0230,1.6996
1.0237,1.7033
1.0244,1.7033
1.0251,1.6959
1.0258,1.6959
1.0265,1.7033
1.0273,1.6996
1.0280,1.6996
1.0288,1.7033
1.0296,1.6959
1.0305,1.6996
1.0313,1.6996
1.0321,1.6959
1.0328,1.6959
1.0336,1.6996
1.0343,1.7033
1.0351,1.6922
1.0359,1.6959
1.0366,1.6996
1.0373,1.6959
1.0381,1.6996
1.0388,1.6959
1.0395,1.7033
1.0403,1.6996
1.0410,1.6996
1.0418,1.6996
1.0425,1.6996
1.0433,1.6996
1.0440,1.7033
1.0448,1.6996
1.0456,1.6996
1.0464,1.6922
1.0472,1.6996
1.0479,1.6996
1.0487,1.6996
1.0495,1.6996
1.0503,1.7033
1.0511,1.6996
1.0518,1.6959
1.0528,1.6996
